trait_descriptors.category,trait_descriptors.stage_scored,traits.description,traits.name,traits.data_provenance,trait_descriptors.scoring_method,trait_descriptors.unit_of_measurements,plant_parts.plant_part
Biochemical,seed,The concentration of Phosphorus in seeds,Seed Phosphorus concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Lead in seeds,Seed Lead concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Rubidium in seeds,Seed Rubidium concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Sulphur in seeds,Seed Sulphur concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Selenium in seeds,Seed Selenium concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Strontium in seeds,Seed Strontium concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Zinc in seeds,Seed Zinc concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,6-8 leaf stage,The concentration of Silver in leaves,Leaf Silver concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Aluminium in leaves,Leaf Aluminium concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Arsenic in leaves,Leaf Arsenic concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Boron in leaves,Leaf Boron concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Balium in leaves,Leaf Balium concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Calcium in leaves,Leaf Calcium concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Cadmium in leaves,Leaf Cadmium concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Chromium in leaves,Leaf Chromium concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Caesium in leaves,Leaf Caesium concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Copper in leaves,Leaf Copper concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Iron in leaves,Leaf Iron concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Potassium in leaves,Leaf Potassium concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Magnesium in leaves,Leaf Magnesium concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Manganese in leaves,Leaf Manganese concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Molybdenum in leaves,Leaf Molybdenum concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Sodium in leaves,Leaf Sodium concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Nickel in leaves,Leaf Nickel concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Phosphorus in leaves,Leaf Phosphorus concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Lead in leaves,Leaf Lead concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Rubidium in leaves,Leaf Rubidium concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Sulphur in leaves,Leaf Sulphur concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Selenium in leaves,Leaf Selenium concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Strontium in leaves,Leaf Strontium concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Titanium in leaves,Leaf Titanium concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Uranium in leaves,Leaf Uranium concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Vanadium in leaves,Leaf Vanadium concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
Biochemical,6-8 leaf stage,The concentration of Zinc in leaves,Leaf Zinc concentration,"Martin Broadley,Thomas Alcock",3-5 leaves per plant were pooled and freeze-dried. These were then ground and digested in nitric acid in a microwave digester prior to analysis by inductively coupled plasma-mass spectrometry,mg/kg,leaf
